Year,Mozambique,South Africa,Kenya,Brazil
2001,23.42500114440918,17.616666793823242,18.883333206176758,22.116666793823242
2002,23.57499885559082,17.92500114440918,19.04166603088379,22.70833396911621
2003,23.900001525878906,18.26666831970215,19.108333587646484,22.14166831970215
2004,23.89166831970215,18.350000381469727,18.700000762939453,21.816667556762695
2005,24.34166717529297,18.558334350585938,18.566667556762695,22.23333168029785
2006,23.683334350585938,17.79166603088379,18.725000381469727,21.933334350585938
2007,23.90833282470703,18.17500114440918,18.58333396911621,22.48333168029785
2008,23.79166603088379,18.399999618530273,18.558334350585938,22.08333396911621
2009,23.774999618530273,18.15833282470703,19.149999618530273,22.21666717529297
2010,24.149999618530273,18.375,19.04166603088379,22.350000381469727
2011,23.71666717529297,17.75,18.783334732055664,21.95833396911621
2012,24.09166717529297,18.108333587646484,18.524999618530273,22.30000114440918
2013,23.875,18.024999618530273,18.733333587646484,22.16666603088379
2014,23.975000381469727,18.21666717529297,18.700000762939453,22.616666793823242
2015,24.525001525878906,18.95833396911621,18.758333206176758,22.91666603088379
2016,24.46666717529297,18.94999885559082,19.158334732055664,22.90833282470703
2017,24.05000114440918,18.408334732055664,19.01666831970215,22.55000114440918
2018,24.44999885559082,18.80000114440918,18.683334350585938,22.441667556762695
2019,24.758333206176758,19.41666603088379,19.19999885559082,23.08333396911621
2020,24.04166603088379,18.399999618530273,19.033334732055664,22.625
2021,23.80000114440918,18.008333206176758,18.866666793823242,22.358335494995117
2022,24.15833282470703,18.383333206176758,18.858333587646484,22.33333396911621
2023,24.26666831970215,18.633333206176758,19.30000114440918,23.0
2024,24.66666603088379,19.075000762939453,18.683332443237305,23.358335494995117
