Year,Country,Rain_mm,Temp_C,Yield_t_ha,Fertilizer_N_kg_ha,SoilIndex
2010,Brazil,1772.1689453125,22.350000381469727,7.904450000000001,45.13,0.77
2011,Brazil,1883.7877197265625,21.95833396911621,7.64485,55.56,0.77
2012,Brazil,1666.5311279296875,22.30000114440918,7.429660000000001,50.02,0.77
2013,Brazil,1837.0621337890625,22.16666603088379,7.53387,58.61,0.77
2014,Brazil,1747.191162109375,22.61666679382324,7.0646,65.0,0.77
2015,Brazil,1582.0445556640625,22.91666603088379,7.420260000000001,50.04,0.77
2016,Brazil,1613.852783203125,22.90833282470703,7.51763,51.68,0.77
2017,Brazil,1653.3612060546875,22.55000114440918,7.44559,64.56,0.77
2018,Brazil,1792.2265625,22.44166755676269,7.45759,65.12,0.77
2019,Brazil,1685.892822265625,23.08333396911621,7.4657,69.65,0.77
2020,Brazil,1723.5841064453125,22.625,7.563630000000001,83.85,0.77
2021,Brazil,1779.78759765625,22.35833549499512,7.17734,95.08,0.77
2022,Brazil,1710.78466796875,22.33333396911621,7.343789999999999,96.18,0.77
2023,Brazil,1587.1910400390625,23.0,7.774860000000001,90.92,0.77
2010,Kenya,675.428466796875,19.04166603088379,8.3063,12.97,0.75
2011,Kenya,715.3427734375,18.783334732055664,6.7181500000000005,15.4,0.75
2012,Kenya,823.476318359375,18.52499961853028,6.668150000000001,17.97,0.75
2013,Kenya,762.72021484375,18.733333587646484,7.77307,21.08,0.75
2014,Kenya,626.375,18.700000762939453,8.88048,17.42,0.75
2015,Kenya,803.2055053710938,18.75833320617676,9.20569,13.7,0.75
2016,Kenya,705.7473754882812,19.158334732055664,8.16637,17.37,0.75
2017,Kenya,1053.15283203125,19.01666831970215,7.01779,23.47,0.75
2018,Kenya,833.2572021484375,18.683334350585938,7.20054,16.3,0.75
2019,Kenya,1140.0286865234375,19.19999885559082,6.4031400000000005,18.94,0.75
2020,Kenya,810.19580078125,19.033334732055664,7.58452,26.37,0.75
2021,Kenya,1017.64404296875,18.86666679382324,8.21017,23.22,0.75
2022,Kenya,928.79833984375,18.858333587646484,7.459989999999999,12.9,0.75
2023,Kenya,1040.7281494140625,19.30000114440918,6.884880000000001,22.31,0.75
2010,Mozambique,904.1199340820312,24.14999961853028,7.069460000000001,7.29,0.72
2011,Mozambique,994.2228393554688,23.71666717529297,7.95357,5.48,0.72
2012,Mozambique,947.8550415039062,24.09166717529297,7.391389999999999,4.0,0.72
2013,Mozambique,998.2818603515624,23.875,6.86039,4.45,0.72
2014,Mozambique,955.8854370117188,23.975000381469727,7.81785,5.62,0.72
2015,Mozambique,868.8060302734375,24.525001525878903,6.89517,2.28,0.72
2016,Mozambique,843.907470703125,24.46666717529297,6.526680000000001,3.18,0.72
2017,Mozambique,1144.8587646484375,24.05000114440918,6.70984,3.73,0.72
2018,Mozambique,1015.1181640625,24.44999885559082,6.532240000000001,4.39,0.72
2019,Mozambique,1132.182861328125,24.75833320617676,6.39277,7.63,0.72
2020,Mozambique,855.131591796875,24.04166603088379,5.78141,7.93,0.72
2021,Mozambique,850.6409301757812,23.80000114440918,6.79995,9.42,0.72
2022,Mozambique,1134.097900390625,24.15833282470703,7.200060000000001,6.4,0.72
2023,Mozambique,989.8775634765624,24.26666831970215,5.28767,9.34,0.72
2010,South Africa,482.9963073730469,18.375,5.9080900000000005,27.42,0.68
2011,South Africa,551.4529418945312,17.75,6.64557,30.3,0.68
2012,South Africa,464.7981567382813,18.108333587646484,6.7205,30.81,0.68
2013,South Africa,420.9365539550781,18.02499961853028,7.53292,29.29,0.68
2014,South Africa,447.771728515625,18.21666717529297,6.50553,28.64,0.68
2015,South Africa,356.92730712890625,18.95833396911621,5.74931,25.88,0.68
2016,South Africa,418.82763671875,18.94999885559082,6.03177,23.71,0.68
2017,South Africa,438.8093872070313,18.408334732055664,6.848110000000001,34.08,0.68
2018,South Africa,389.7644653320313,18.80000114440918,6.97214,36.83,0.68
2019,South Africa,388.1488342285156,19.41666603088379,6.9732,38.8,0.68
2020,South Africa,462.54974365234375,18.39999961853028,7.30993,42.66,0.68
2021,South Africa,525.5536499023438,18.008333206176758,7.191660000000001,44.86,0.68
2022,South Africa,506.5195617675781,18.38333320617676,6.93142,39.27,0.68
2023,South Africa,491.787353515625,18.63333320617676,6.765580000000001,30.5,0.68
