Year,Country,Temp_C
2001,Mozambique,23.42500114440918
2002,Mozambique,23.57499885559082
2003,Mozambique,23.900001525878903
2004,Mozambique,23.89166831970215
2005,Mozambique,24.34166717529297
2006,Mozambique,23.683334350585938
2007,Mozambique,23.90833282470703
2008,Mozambique,23.79166603088379
2009,Mozambique,23.774999618530277
2010,Mozambique,24.149999618530277
2011,Mozambique,23.71666717529297
2012,Mozambique,24.09166717529297
2013,Mozambique,23.875
2014,Mozambique,23.975000381469727
2015,Mozambique,24.525001525878903
2016,Mozambique,24.46666717529297
2017,Mozambique,24.05000114440918
2018,Mozambique,24.44999885559082
2019,Mozambique,24.75833320617676
2020,Mozambique,24.04166603088379
2021,Mozambique,23.80000114440918
2022,Mozambique,24.15833282470703
2023,Mozambique,24.26666831970215
2024,Mozambique,24.66666603088379
2001,South Africa,17.616666793823242
2002,South Africa,17.92500114440918
2003,South Africa,18.26666831970215
2004,South Africa,18.350000381469727
2005,South Africa,18.558334350585938
2006,South Africa,17.79166603088379
2007,South Africa,18.17500114440918
2008,South Africa,18.399999618530277
2009,South Africa,18.15833282470703
2010,South Africa,18.375
2011,South Africa,17.75
2012,South Africa,18.108333587646484
2013,South Africa,18.024999618530277
2014,South Africa,18.21666717529297
2015,South Africa,18.95833396911621
2016,South Africa,18.94999885559082
2017,South Africa,18.408334732055664
2018,South Africa,18.80000114440918
2019,South Africa,19.41666603088379
2020,South Africa,18.399999618530277
2021,South Africa,18.008333206176758
2022,South Africa,18.38333320617676
2023,South Africa,18.63333320617676
2024,South Africa,19.075000762939453
2001,Kenya,18.88333320617676
2002,Kenya,19.04166603088379
2003,Kenya,19.108333587646484
2004,Kenya,18.700000762939453
2005,Kenya,18.56666755676269
2006,Kenya,18.725000381469727
2007,Kenya,18.58333396911621
2008,Kenya,18.558334350585938
2009,Kenya,19.149999618530277
2010,Kenya,19.04166603088379
2011,Kenya,18.783334732055664
2012,Kenya,18.524999618530277
2013,Kenya,18.733333587646484
2014,Kenya,18.700000762939453
2015,Kenya,18.75833320617676
2016,Kenya,19.158334732055664
2017,Kenya,19.01666831970215
2018,Kenya,18.683334350585938
2019,Kenya,19.19999885559082
2020,Kenya,19.033334732055664
2021,Kenya,18.86666679382324
2022,Kenya,18.858333587646484
2023,Kenya,19.30000114440918
2024,Kenya,18.683332443237305
2001,Brazil,22.11666679382324
2002,Brazil,22.70833396911621
2003,Brazil,22.14166831970215
2004,Brazil,21.81666755676269
2005,Brazil,22.23333168029785
2006,Brazil,21.933334350585938
2007,Brazil,22.48333168029785
2008,Brazil,22.08333396911621
2009,Brazil,22.21666717529297
2010,Brazil,22.350000381469727
2011,Brazil,21.95833396911621
2012,Brazil,22.30000114440918
2013,Brazil,22.16666603088379
2014,Brazil,22.61666679382324
2015,Brazil,22.91666603088379
2016,Brazil,22.90833282470703
2017,Brazil,22.55000114440918
2018,Brazil,22.44166755676269
2019,Brazil,23.08333396911621
2020,Brazil,22.625
2021,Brazil,22.35833549499512
2022,Brazil,22.33333396911621
2023,Brazil,23.0
2024,Brazil,23.35833549499512
