Country,Year,Yield_t_ha
Brazil,2010,7.904450000000001
Brazil,2011,7.64485
Brazil,2012,7.429660000000001
Brazil,2013,7.53387
Brazil,2014,7.0646
Brazil,2015,7.420260000000001
Brazil,2016,7.5176300000000005
Brazil,2017,7.44559
Brazil,2018,7.45759
Brazil,2019,7.4657
Brazil,2020,7.563630000000001
Brazil,2021,7.17734
Brazil,2022,7.343789999999999
Brazil,2023,7.774860000000001
Kenya,2010,8.3063
Kenya,2011,6.7181500000000005
Kenya,2012,6.668150000000001
Kenya,2013,7.77307
Kenya,2014,8.88048
Kenya,2015,9.20569
Kenya,2016,8.16637
Kenya,2017,7.01779
Kenya,2018,7.20054
Kenya,2019,6.4031400000000005
Kenya,2020,7.58452
Kenya,2021,8.21017
Kenya,2022,7.4599899999999995
Kenya,2023,6.884880000000001
Mozambique,2010,7.069460000000001
Mozambique,2011,7.95357
Mozambique,2012,7.3913899999999995
Mozambique,2013,6.86039
Mozambique,2014,7.81785
Mozambique,2015,6.89517
Mozambique,2016,6.526680000000001
Mozambique,2017,6.70984
Mozambique,2018,6.532240000000001
Mozambique,2019,6.39277
Mozambique,2020,5.78141
Mozambique,2021,6.79995
Mozambique,2022,7.200060000000001
Mozambique,2023,5.28767
South Africa,2010,5.9080900000000005
South Africa,2011,6.64557
South Africa,2012,6.7205
South Africa,2013,7.53292
South Africa,2014,6.50553
South Africa,2015,5.74931
South Africa,2016,6.03177
South Africa,2017,6.848110000000001
South Africa,2018,6.97214
South Africa,2019,6.9732
South Africa,2020,7.3099300000000005
South Africa,2021,7.191660000000001
South Africa,2022,6.93142
South Africa,2023,6.765580000000001
