profit_Mozambique,profit_South_Africa,profit_Kenya
76423808.17200544,203796821.79201454,38211904.08600272
9713418.161076449,25902448.429537196,4856709.080538224
45532435.88819409,121419829.03518425,22766217.944097046
51783794.094214715,138090117.58457258,25891897.047107358
-12884411.761235802,-34358431.36329547,-6442205.880617901
77498482.94289735,206662621.1810596,38749241.471448675
44995377.3415337,119987672.91075654,22497688.67076685
57327565.0429175,152873506.78111333,28663782.52145875
-11545666.859002875,-30788444.957341,-5772833.429501438
52950629.22108252,141201677.92288673,26475314.61054126
48823674.009831436,130196464.02621716,24411837.004915718
60537405.39806839,161433081.06151572,30268702.699034195
36414734.357198805,97105958.28586347,18207367.178599402
39209731.984940924,104559285.2931758,19604865.992470462
38524521.66521144,102732057.77389719,19262260.83260572
-22229760.321930405,-59279360.85848108,-11114880.160965202
33146816.03670751,88391509.43122002,16573408.018353755
-7140349.483488757,-19040931.95597002,-3570174.7417443786
45059839.52644461,120159572.07051896,22529919.763222303
17058898.09529951,45490394.9207987,8529449.047649754
45211399.539999455,120563732.10666522,22605699.769999728
14779524.548185302,39412065.46182747,7389762.274092651
57548558.90364394,153462823.74305052,28774279.45182197
91183211.6915448,243155231.1774528,45591605.8457724
75249987.86686559,200666634.31164157,37624993.933432795
12368366.388159722,32982310.368425928,6184183.194079861
32314059.83954379,86170826.23878343,16157029.919771895
-21890718.924603507,-58375250.46560935,-10945359.462301753
10135066.068964297,27026842.850571457,5067533.0344821485
29438631.035231892,78503016.09395172,14719315.517615946
59816911.317511916,159511763.51336512,29908455.658755958
78198585.42310648,208529561.12828395,39099292.71155324
34645169.502989165,92387118.67463778,17322584.751494583
14736756.370876705,39298016.989004545,7368378.185438353
47756987.607561715,127351966.9534979,23878493.803780857
-2361114.051544147,-6296304.137451058,-1180557.0257720735
19886990.738022923,53031975.30139446,9943495.369011462
31543573.4269257,84116195.80513519,15771786.71346285
-8227663.688612142,-21940436.50296571,-4113831.844306071
32596895.6083244,86925054.95553173,16298447.8041622
48442367.85120916,129179647.60322444,24221183.92560458
67800624.88526604,180801666.36070943,33900312.44263302
68656887.21101943,183085032.56271848,34328443.60550971
43638027.19121722,116368072.5099126,21819013.59560861
52285690.84376911,139428508.91671762,26142845.421884555
33661422.89212302,89763794.37899472,16830711.44606151
1940685.0971304956,5175160.259014655,970342.5485652478
9371083.349611063,24989555.598962832,4685541.674805531
31287868.5496363,83434316.13236347,15643934.27481815
4254104.652221284,11344279.07259009,2127052.326110642
23861939.729022756,63631839.27739402,11930969.864511378
-18008052.883222975,-48021474.35526126,-9004026.441611487
64405012.77004972,171746700.7201326,32202506.38502486
48777221.1735191,130072589.79605092,24388610.58675955
42450363.467324056,113200969.24619749,21225181.733662028
51486587.62988688,137297567.0130317,25743293.81494344
-28768732.0399294,-76716618.77314508,-14384366.0199647
54089269.5960101,144238052.25602692,27044634.79800505
11963242.159895308,31901979.093054157,5981621.079947654
24413654.60221299,65103078.93923465,12206827.301106496
43503519.51014043,116009385.36037447,21751759.755070213
30907139.79956701,82419039.46551202,15453569.899783505
10396898.49265113,27725062.647069678,5198449.246325565
52944757.40062351,141186019.73499602,26472378.700311754
31943425.62819962,85182468.34186564,15971712.81409981
34852696.330030106,92940523.54674695,17426348.165015053
50621932.37427601,134991819.66473603,25310966.187138006
28874487.861810263,76998634.2981607,14437243.930905132
-2327498.576888244,-6206662.871701985,-1163749.288444122
15870770.097879546,42322053.59434546,7935385.048939773
-3318536.9422926824,-8849431.84611382,-1659268.4711463412
24913235.81482933,66435295.50621154,12456617.907414665
51445461.3784841,137187897.00929093,25722730.68924205
31568477.469691996,84182606.58584532,15784238.734845998
-9126212.716099776,-24336567.242932737,-4563106.358049888
22583764.387668867,60223371.70045031,11291882.193834433
-1134417.9191589851,-3025114.451090627,-567208.9595794926
12965597.780080574,34574927.413548194,6482798.890040287
38178137.475634456,101808366.60169189,19089068.737817228
65643415.1155971,175049106.9749256,32821707.55779855
38355591.78778718,102281578.10076581,19177795.89389359
18347224.624707557,48925932.33255349,9173612.312353779
59901225.6985929,159736601.8629144,29950612.84929645
12046324.015193725,32123530.707183268,6023162.0075968625
-20897256.66894049,-55726017.7838413,-10448628.334470244
-5326349.6596293785,-14203599.092345009,-2663174.8298146892
45865814.450470634,122308838.53458837,22932907.225235317
55040870.14584053,146775653.72224143,27520435.072920267
-917578.9406049559,-2446877.174946549,-458789.47030247794
33738308.645748645,89968823.05532971,16869154.322874323
-5282396.687805011,-14086391.167480027,-2641198.3439025055
40305067.020242766,107480178.72064736,20152533.510121383
46020995.55047667,122722654.80127111,23010497.775238335
12076625.02428569,32204333.398095176,6038312.512142845
5680271.459792897,15147390.559447726,2840135.7298964486
16032701.062227417,42753869.499273114,8016350.531113708
19419221.576055594,51784590.869481586,9709610.788027797
33323949.777828008,88863866.07420802,16661974.888914004
-23378177.384083696,-62341806.357556514,-11689088.692041848
64209431.03074465,171225149.41531906,32104715.515372325
80771751.00990605,215391336.02641612,40385875.50495303
58231515.33403232,155284040.89075285,29115757.66701616
15210649.009976095,40561730.69326959,7605324.504988047
67402778.05936047,179740741.49162793,33701389.02968024
57762990.611597896,154034641.63092774,28881495.305798948
20365247.55918936,54307326.824504964,10182623.77959468
52521194.61854102,140056518.98277605,26260597.30927051
24017467.12090128,64046578.98907008,12008733.56045064
37304453.47882219,99478542.6101925,18652226.739411093
75637615.14520894,201700307.05389053,37818807.57260447
-5463010.563044961,-14568028.168119896,-2731505.2815224803
-19069778.661345795,-50852743.096922114,-9534889.330672897
13873115.68455874,36994975.158823304,6936557.84227937
36157632.372081526,96420352.99221739,18078816.186040763
14250712.12121441,38001898.98990509,7125356.060607205
53967518.74766612,143913383.32710966,26983759.37383306
59895000.439559385,159720001.17215836,29947500.219779693
51066575.459001906,136177534.55733842,25533287.729500953
-1310573.4885678524,-3494862.6361809396,-655286.7442839262
55044569.687628895,146785519.1670104,27522284.843814448
46078728.18659796,122876608.49759457,23039364.09329898
36343610.2947609,96916294.1193624,18171805.14738045
-9293422.726985611,-24782460.605294965,-4646711.3634928055
32933299.89062153,87822133.04165742,16466649.945310766
-15732026.929008411,-41952071.8106891,-7866013.464504206
12876077.404321665,34336206.41152444,6438038.7021608325
-13634116.10914443,-36357642.957718484,-6817058.054572215
5550612.105846148,14801632.282256395,2775306.052923074
-1581713.1161661085,-4217901.643109622,-790856.5580830543
5843084.596091745,15581558.92291132,2921542.2980458727
