Year,Mozambique,South Africa,Kenya,Brazil
2001,460.79474,955.07025,19286.871,1158.5178
2002,590.5548,735.5355,19688.43,870.56665
2003,469.61075,655.6755,18926.55,948.63696
2004,475.73804,830.74457,19891.873,1098.4773
2005,393.34875,698.6474,19950.877,838.09686
2006,577.28357,1002.6227,20347.55,931.6196
2007,511.9811,749.1057,19060.66,1004.6189
2008,508.06946,776.7943,20832.398,986.9401
2009,494.1879,836.64386,21298.713,931.92206
2010,486.97995,839.7982,19273.684,923.1269
2011,519.8869,961.7099,20475.434,1017.59766
2012,595.9167,816.0845,18125.674,971.67896
2013,551.6852,735.9514,19980.58,1021.01044
2014,453.62384,783.8924,19024.951,977.0173
2015,584.6358,628.8403,17270.768,890.0687
2016,515.0317,729.5,17572.348,860.90015
2017,767.3001,764.04517,17997.562,1168.9991
2018,604.18445,680.4541,19485.117,1040.1748
2019,828.8009,676.3642,18312.355,1151.6431
2020,583.1258,805.6293,18716.572,873.4579
2021,744.7801,915.96686,19316.709,874.7091
2022,675.5513,887.95215,18580.936,1162.5787
2023,761.005,861.7302,17278.965,1016.0162
2024,525.3962,725.68634,18229.303,873.8167
