Year,Country,Rain_mm
2001,Brazil,1772.611083984375
2002,Brazil,1807.5400390625
2003,Brazil,1739.0767822265625
2004,Brazil,1830.353271484375
2005,Brazil,1833.896728515625
2006,Brazil,1874.002197265625
2007,Brazil,1753.25
2008,Brazil,1917.747802734375
2009,Brazil,1956.9281005859375
2010,Brazil,1772.1689453125
2011,Brazil,1883.7877197265625
2012,Brazil,1666.5311279296875
2013,Brazil,1837.0621337890625
2014,Brazil,1747.191162109375
2015,Brazil,1582.0445556640625
2016,Brazil,1613.852783203125
2017,Brazil,1653.3612060546875
2018,Brazil,1792.2265625
2019,Brazil,1685.892822265625
2020,Brazil,1723.5841064453125
2021,Brazil,1779.78759765625
2022,Brazil,1710.78466796875
2023,Brazil,1587.1910400390625
2024,Brazil,1675.9619140625
2001,Kenya,634.2322998046875
2002,Kenya,807.2698974609375
2003,Kenya,647.8182373046875
2004,Kenya,655.17626953125
2005,Kenya,543.4954833984375
2006,Kenya,792.6159057617188
2007,Kenya,709.4521484375
2008,Kenya,702.0567626953125
2009,Kenya,679.4271850585938
2010,Kenya,675.428466796875
2011,Kenya,715.3427734375
2012,Kenya,823.476318359375
2013,Kenya,762.72021484375
2014,Kenya,626.375
2015,Kenya,803.2055053710938
2016,Kenya,705.7473754882812
2017,Kenya,1053.15283203125
2018,Kenya,833.2572021484375
2019,Kenya,1140.0286865234375
2020,Kenya,810.19580078125
2021,Kenya,1017.64404296875
2022,Kenya,928.79833984375
2023,Kenya,1040.7281494140625
2024,Kenya,721.8662109375
2001,Mozambique,1133.121826171875
2002,Mozambique,852.49951171875
2003,Mozambique,926.5491333007812
2004,Mozambique,1075.7305908203125
2005,Mozambique,815.199951171875
2006,Mozambique,911.7057495117188
2007,Mozambique,980.7317504882812
2008,Mozambique,961.1497802734375
2009,Mozambique,911.87060546875
2010,Mozambique,904.1199340820312
2011,Mozambique,994.2228393554688
2012,Mozambique,947.8550415039062
2013,Mozambique,998.2818603515625
2014,Mozambique,955.8854370117188
2015,Mozambique,868.8060302734375
2016,Mozambique,843.907470703125
2017,Mozambique,1144.8587646484375
2018,Mozambique,1015.1181640625
2019,Mozambique,1132.182861328125
2020,Mozambique,855.131591796875
2021,Mozambique,850.6409301757812
2022,Mozambique,1134.097900390625
2023,Mozambique,989.8775634765625
2024,Mozambique,855.8209228515625
2001,South Africa,548.1014404296875
2002,South Africa,420.44207763671875
2003,South Africa,374.9820861816406
2004,South Africa,475.8153076171875
2005,South Africa,400.2991027832031
2006,South Africa,573.467529296875
2007,South Africa,428.586669921875
2008,South Africa,444.4725036621094
2009,South Africa,482.3169250488281
2010,South Africa,482.9963073730469
2011,South Africa,551.4529418945312
2012,South Africa,464.79815673828125
2013,South Africa,420.9365539550781
2014,South Africa,447.771728515625
2015,South Africa,356.92730712890625
2016,South Africa,418.82763671875
2017,South Africa,438.80938720703125
2018,South Africa,389.76446533203125
2019,South Africa,388.1488342285156
2020,South Africa,462.54974365234375
2021,South Africa,525.5536499023438
2022,South Africa,506.5195617675781
2023,South Africa,491.787353515625
2024,South Africa,415.1860656738281
