Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2010","2010","kg/ha","45.13"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2011","2011","kg/ha","55.56"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2012","2012","kg/ha","50.02"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2013","2013","kg/ha","58.61"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2014","2014","kg/ha","65"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2015","2015","kg/ha","50.04"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2016","2016","kg/ha","51.68"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2017","2017","kg/ha","64.56"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2018","2018","kg/ha","65.12"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2019","2019","kg/ha","69.65"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2020","2020","kg/ha","83.85"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","95.08"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2022","2022","kg/ha","96.18"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2023","2023","kg/ha","90.92"
"RFN","Fertilizers by Nutrient","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2010","2010","kg/ha","12.97"
"RFN","Fertilizers by Nutrient","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2011","2011","kg/ha","15.4"
"RFN","Fertilizers by Nutrient","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2012","2012","kg/ha","17.97"
"RFN","Fertilizers by Nutrient","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2013","2013","kg/ha","21.08"
"RFN","Fertilizers by Nutrient","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2014","2014","kg/ha","17.42"
"RFN","Fertilizers by Nutrient","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2015","2015","kg/ha","13.7"
"RFN","Fertilizers by Nutrient","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2016","2016","kg/ha","17.37"
"RFN","Fertilizers by Nutrient","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2017","2017","kg/ha","23.47"
"RFN","Fertilizers by Nutrient","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2018","2018","kg/ha","16.3"
"RFN","Fertilizers by Nutrient","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2019","2019","kg/ha","18.94"
"RFN","Fertilizers by Nutrient","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2020","2020","kg/ha","26.37"
