Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01802","Sugar cane","2010","2010","kg/ha","79044.5"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01802","Sugar cane","2011","2011","kg/ha","76448.5"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01802","Sugar cane","2012","2012","kg/ha","74296.6"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01802","Sugar cane","2013","2013","kg/ha","75338.7"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01802","Sugar cane","2014","2014","kg/ha","70646"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01802","Sugar cane","2015","2015","kg/ha","74202.6"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01802","Sugar cane","2016","2016","kg/ha","75176.3"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01802","Sugar cane","2017","2017","kg/ha","74455.9"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01802","Sugar cane","2018","2018","kg/ha","74575.9"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01802","Sugar cane","2019","2019","kg/ha","74657"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01802","Sugar cane","2020","2020","kg/ha","75636.3"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01802","Sugar cane","2021","2021","kg/ha","71773.4"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01802","Sugar cane","2022","2022","kg/ha","73437.9"
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01802","Sugar cane","2023","2023","kg/ha","77748.6"
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01802","Sugar cane","2010","2010","kg/ha","83063"
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01802","Sugar cane","2011","2011","kg/ha","67181.5"
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01802","Sugar cane","2012","2012","kg/ha","66681.5"
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01802","Sugar cane","2013","2013","kg/ha","77730.7"
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01802","Sugar cane","2014","2014","kg/ha","88804.8"
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01802","Sugar cane","2015","2015","kg/ha","92056.9"
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01802","Sugar cane","2016","2016","kg/ha","81663.7"
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01802","Sugar cane","2017","2017","kg/ha","70177.9"
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01802","Sugar cane","2018","2018","kg/ha","72005.4"
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01802","Sugar cane","2019","2019","kg/ha","64031.4"
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01802","Sugar cane","2020","2020","kg/ha","75845.2"
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01802","Sugar cane","2021","2021","kg/ha","82101.7"
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01802","Sugar cane","2022","2022","kg/ha","74599.9"
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01802","Sugar cane","2023","2023","kg/ha","68848.8"
"QCL","Crops and livestock products","508","Mozambique","5412","Yield","01802","Sugar cane","2010","2010","kg/ha","70694.6"
"QCL","Crops and livestock products","508","Mozambique","5412","Yield","01802","Sugar cane","2011","2011","kg/ha","79535.7"
"QCL","Crops and livestock products","508","Mozambique","5412","Yield","01802","Sugar cane","2012","2012","kg/ha","73913.9"
"QCL","Crops and livestock products","508","Mozambique","5412","Yield","01802","Sugar cane","2013","2013","kg/ha","68603.9"
"QCL","Crops and livestock products","508","Mozambique","5412","Yield","01802","Sugar cane","2014","2014","kg/ha","78178.5"
"QCL","Crops and livestock products","508","Mozambique","5412","Yield","01802","Sugar cane","2015","2015","kg/ha","68951.7"
"QCL","Crops and livestock products","508","Mozambique","5412","Yield","01802","Sugar cane","2016","2016","kg/ha","65266.8"
"QCL","Crops and livestock products","508","Mozambique","5412","Yield","01802","Sugar cane","2017","2017","kg/ha","67098.4"
"QCL","Crops and livestock products","508","Mozambique","5412","Yield","01802","Sugar cane","2018","2018","kg/ha","65322.4"
"QCL","Crops and livestock products","508","Mozambique","5412","Yield","01802","Sugar cane","2019","2019","kg/ha","63927.7"
"QCL","Crops and livestock products","508","Mozambique","5412","Yield","01802","Sugar cane","2020","2020","kg/ha","57814.1"
"QCL","Crops and livestock products","508","Mozambique","5412","Yield","01802","Sugar cane","2021","2021","kg/ha","67999.5"
"QCL","Crops and livestock products","508","Mozambique","5412","Yield","01802","Sugar cane","2022","2022","kg/ha","72000.6"
"QCL","Crops and livestock products","508","Mozambique","5412","Yield","01802","Sugar cane","2023","2023","kg/ha","52876.7"
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01802","Sugar cane","2010","2010","kg/ha","59080.9"
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01802","Sugar cane","2011","2011","kg/ha","66455.7"
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01802","Sugar cane","2012","2012","kg/ha","67205"
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01802","Sugar cane","2013","2013","kg/ha","75329.2"
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01802","Sugar cane","2014","2014","kg/ha","65055.3"
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01802","Sugar cane","2015","2015","kg/ha","57493.1"
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01802","Sugar cane","2016","2016","kg/ha","60317.7"
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01802","Sugar cane","2017","2017","kg/ha","68481.1"
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01802","Sugar cane","2018","2018","kg/ha","69721.4"
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01802","Sugar cane","2019","2019","kg/ha","69732"
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01802","Sugar cane","2020","2020","kg/ha","73099.3"
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01802","Sugar cane","2021","2021","kg/ha","71916.6"
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01802","Sugar cane","2022","2022","kg/ha","69314.2"
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01802","Sugar cane","2023","2023","kg/ha","67655.8"
